"rowid","sentiment","service","recommendation","intent","review"
363,"Negative","Technical Issues","Investigate technical issue promptly.","Issue","Easy onboarding process that’s done in less than 5 mins!"
364,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Nice and neat and getting improvement from time to time"
365,"Neutral","Technical Issues","Investigate and resolve issue","Issue","Best card to carry around whether when at home or overseas."
366,"Negative","Technical Issues","Investigate technical issue","Issue","Ask my mom to sign me up and very convenient, dont need to bring so much cash"
367,"Negative","Technical Issues","Investigate technical issue urgently","Issue","Made the mistake of decreasing my credit card limit to the lowest. Now I’m stuck with the limit and no way to increase it back up."
368,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Superb on-boarding. Was super easy to set up my account and get my card working."
369,"Neutral","Technical Issues","Investigate and resolve technical issue","Issue","Operates just like any other bank. Easy to use"
370,"Negative","Technical Issues","Investigate technical issue","Issue","I signed up for the credit card and savings account. Added the card to my Apple wallet. Tried transacting but failed. Reached out to customer service twice but both times they failed to find the issue or resolve it."
371,"Negative","Technical Issues","Investigate issue prioritize fix","Issue","its easy to use and convenient, but I want the card"
372,"Negative","Technical Issues","Investigate technical issue urgently","Issue","can use for online and more"
373,"Negative","Technical Issues","Investigate technical issue urgently","Issue","It would be good if can resolve this issue.
Error page appear when open the app on iPhone 7 Plus."
374,"Negative","Technical Issues","Investigate technical issue prioritize fix","Feedback","Why I did not get my $10 voucher for applying trust card"
375,"Neutral","Technical Issues","Investigate technical glitch","Issue","I tried like 10 times to sign up for a card or open an account but every time the data is retrieved from SingPass that’s the message I get and unable to open or apply"
376,"Neutral","Technical Issues","Investigate issue maintain transparency","Issue","Application for both products was a breeze and insanely fast! 1.2/1.4% interest rate is no gimmick. Referral program is awesome. 👍🏼"
377,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Have not been able to access the app at all over the last 1 week.  What if credit card payment is due as I heard about the bank not waiving charges for late payments."
378,"Negative","Technical Issues","Investigate and resolve tech issue","Issue","Im trying to get this credit card to continue earning points from FP but tried an hour, still unable to proceed. What’s the point to launch this new card ( the app look pretty cheap, don’t even mention about user friendly )"
379,"Negative","Technical Issues","Investigate and resolve technical glitches","Issue","Prolly this is the sign for me not to sign up the card. Tried applying for credit card it shows error. Tried applying savings accounts also showing error. Uninstalling the app and forget about this inefficient digital banking. Not working."
380,"Negative","Technical Issues","Troubleshoot technical issue","Issue","Collect personal data from singpass, get your passport scan and refuse to open an account without giving any explanation. Support is not helpful, respond with default phrases such as: we are able to disclose anything… scam"
381,"Negative","Technical Issues","Investigate issue prioritize fix","Issue","BEWARE!!! TRUST bank is not fully setup! Can’t repay credit card bill via its own bank account (that’s crazy!) and no instructions for cheque repayment. Other banks like OCBC and UOB can’t setup to repay while POSB/DBS can setup however yet to confirm whether it will go through; this is my first month testing this card."
382,"Negative","Technical Issues","Investigate and resolve technical issues","Issue","Applied saving and went through. But ended up option not available to apply for credit card. This should be be happening when it’s a digital bank."
383,"Neutral","Technical Issues","Investigate issue with technical service","Issue","Beautiful app, cute illustrations, don't make you feel like a bank app and great savings"
384,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Having issues logging in via SingPass, it just keeps showing the message ‘We are unable to log you in with SingPass right now. We are working on it, please try again later’. Doesn’t seems like there any other way to login"
385,"Negative","Technical Issues","Investigate and resolve issue","Issue","I haven’t seen a signup process so easy as the one of Trust bank."
386,"Negative","Technical Issues","Investigate app crashes prioritize fixes.","Feedback","I love the new design. Super clean and faster than before. Keep it up!"
387,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Amazing work TRUST. The daily facts are a nice touch. Super easy to use and easy on the eye. Also instant approvals and low cost insurance are great touches."
388,"Negative","Technical Issues","Investigate technical issue","Issue","Nice card to have, with all the perks and benefit. 
Credit availability and flexibility is there too. 👍🏻 
Rewards is good too."
389,"Neutral","Technical Issues","Investigate technical issue","Issue","for people that doesn’t have passioncard nor visa, it’s recommended to get this. its even free"
390,"Negative","Technical Issues","Investigate issue offer solution","Issue","Awesome app - easy to use and very short waiting time. Nothing to complain about, absolutely LOVED it!"
391,"Neutral","Technical Issues","Investigate technical issue","Issue","Can i check why log in via singpass keep on error?"
392,"Negative","Technical Issues","Investigate Address Technical Issue Swift Response","Feedback","Find it strange that with so many 1 Star ratings and so many critical reviews and complaints that it’s a 4.8 rating for the app? Would the app developer care to explain"
393,"Negative","Exchange Rates","Investigate exchange rate discrepancy","Issue","Spent in Malaysia on 10-May. Google rate is 3.35, money changers is 3.25, Trust rate is only 3.001. very disappointed. should have used my other cards that gave much better rates. And Trust still advertise that their rate is similar to Google's."
394,"Negative","User Experience","Investigate UI issues improve user experience","Request","The UXP is good. I’m waiting for the credit card launch."
395,"Positive","Technical Issues","Investigate issue provide solution","Issue","It forces you to use phone app. You can’t do anything otherwise. They don’t even offer iPad app. 
Vision abilities deteriorate as you are aging and I prefer internet banking via computer because font is too small on smartphone but it look like trust bank discriminates people by age"
396,"Positive","User Experience","Thank the user for their feedback","Opinion","Amazing UI/UX, the screens are all so accessible and intuitive🙂 good promotional offerings. Hope i can win the Tesla🙏🏻🙏🏻"
397,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","I am not able to login in when my account was deleted due to some reasons. 

Delete apps and re-install still the same. 

Redo new registration also cannot.  Feel sad of this system."
398,"Negative","User Experience","Design overhaul based on user feedback","Feedback","Mine is iPhone 8 old model but with latest iOS. The screen stuck half way of applying credit card, and cannot see button to proceed next step, so I quit.."
399,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Fast and frictionless onboarding experience! Clean design. Card rebates and 1.4% interest rate rocks! Free 2 months insurance rocks! What's there not to love?! Trust in Trust. ❤️"
400,"Positive","User Experience","Investigate UI glitch","Issue","Referred to many friends and received enough vouchers for next 2 months of grocery, yay!"
401,"Positive","Technical Issues","Acknowledge and thank for positive feedback on technical issues","Opinion","Hi, 

Hope this help.

I kept receiving notifications but when login to the app, I don’t know what you want me to see or what you want to notify me. I don’t see new transactions and I don’t see new message. Can you improve on that? Don’t just tap me and run off……."
402,"Negative","User Experience","Investigate and resolve UI issue","Issue","Awesome experience with application process. Less documentation"
403,"Negative","Technical Issues","Investigate technical issue improve app stability","Feedback","that’s all I get after tapping “I Agree” to use myInfo. App hangs. Tried reinstalling, still the same issue. SingPass shows that Trust bank has retrieved my profile successfully every time. So, what went wrong?"
404,"Positive","User Experience","Thank you for the constructive feedback. We will consider enhancing our user experience.","Feedback","Friendly use👍"
405,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Fast & efficient"
406,"Negative","User Experience","Review UI design with users","Feedback","App works well, initially took quite long for application to be approved"
407,"Negative","Technical Issues","Investigate app crash issue","Feedback","After so long, the app still unable to adjust and up the credit limited. All the CR team said was unable to do it. I just don’t understand why it’s so difficult to do it. Digital banking, more like more barrier"
408,"Negative","User Experience","Investigate UI bug","Issue","Easy to use. Best is no FX charges!!!"
409,"Negative","Technical Issues","Investigate technical glitch","Feedback","The exchange rate is better than changing cash."
410,"Negative","User Experience","Revisit UI design based on user feedback","Feedback","Once change Touch ID/Face ID, no way to get it back except to re-download and re-login. Most bank has setting to toggle. Please add thanks"
411,"Negative","Technical Issues","Investigate issue provide solution","Issue","I can’t log in after changing phone. Contact the helpline, tell me they will get back to me within 3 working days. Till now still no updates and still can’t log in. I have no way to access my money inside😡"
412,"Negative","User Experience","Investigate UI bug","Issue","Unable to log in and keep loading even after several times trying, uninstall and reinstall the app.
Feel frustrated."
413,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","A reinstall is required to enable or disable biometric authentication and there is no option to update mobile number. These should be fundamental features to meet MVP."
414,"Negative","User Experience","Investigate UI glitches","Issue","Shoutout to the designers and developers, by far the best app experience out of all the banks."
415,"Negative","Technical Issues","Investigate issue prioritize fix","Issue","Fast and hassle free
Offer attractive rates 
Will recommend more ppl to use"
416,"Negative","User Experience","Revisit UI design based on user feedback","Feedback","convenient, looking forward to card returning"
417,"Negative","Technical Issues","Investigate technical issue promptly","Issue","I made payment for my card by the due date. But the outstanding amount was still reflected on the app. I have to call the hotline to check if they received the payment or not. I do not want to be slapped w late fees for nothing."
418,"Negative","User Experience","Review UI improvements","Feedback","I applied for a cc but was rejected. Unknown reason given even when the credit report shows GX for the risk grade. They are discouraging people from getting their card before any credit card sign ups with other banks first."
419,"Negative","Technical Issues","Investigate issue prioritize fix","Issue","Downloaded the app but been unable to log in using Singpass without error. No help option available to get immediate support."
420,"Negative","User Experience","Investigate UI bug","Issue","I can say the fluent user experience and app design is the best among all Singapore bank."
421,"Negative","Technical Issues","Investigate and resolve issue promptly","Issue","I’ve been trying to access the app for more than a week. However it can’t load and keep showing something went wrong and tap “try again”. Doesn’t work. 😫"
422,"Negative","User Experience","Investigate UI glitch issue","Issue","Looks 100x better than OCBC app, that's why I'm here"
423,"Negative","Technical Issues","Investigate app bug notify users","Feedback","Keep showing error something went wrong at the page to click “I Agree” after allowing app to retrieve my info from SingPass”. Tried many times still the same…"
424,"Negative","User Experience","Investigate UX issue: 'App crashes frequently'","Issue","Never have I ever experience such a lousy customer service from a bank itself and the worst bank to have a credit card with"
425,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","What do you mean by unable to reveal reasons for my failed application of credit card? How are we going to continue earning LinkPoints? This is the first time ever in my 30 years of credit card application!!"
426,"Negative","User Experience","Investigate UI glitch","Issue","Nobody answers the 24/7 hotline and reply to the messages sent to them.

This shouldn’t be the standard for a digital bank. There are still many other responsive digital banks out there."
427,"Negative","Technical Issues","Investigate technical issue urgently","Issue","I don't need to use excel to earn the bonus linkpoints"
428,"Negative","User Experience","Investigate UI bug","Issue","Linkpoints auto reflected immediately and many great value coupons!!"
429,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","I tried to apply for a card but the app hung at notifications after getting my info."
430,"Negative","User Experience","Investigate UX issue reported.","Issue","User friendly and easy to use."
431,"Negative","Technical Issues","Investigate technical issue","Issue","Hard to find options. I had to goggle many times just to activate paynow. Plz make it simple so that everyone can use easily"
432,"Negative","User Experience","Investigate UI bug","Issue","Can’t re-activate face biometric in app after changing Face ID, have to delete and download app again"
433,"Negative","Technical Issues","Investigate and resolve technical glitch","Issue","I reinstalled the app and I cannot login anymore via Singpass. Now I cannot access my account. It seems I am not the only one with this problem."
434,"Negative","User Experience","Investigate UI bug","Issue","So far the connection is fast. Good"
435,"Negative","Technical Issues","Investigate technical glitch","Issue","YZTQQZ5Y, 10 dollar each! 

This will be a great progress for our ntuc card"
436,"Negative","User Experience","Investigate UX issue causing frustration","Issue","Unable to use MyInfo to apply credit card as the app prompts error message. Something went wrong. Using iPhone 13 pro."
437,"Negative","Technical Issues","Investigate technical issue improve app stability","Feedback","Frustrating experience to use this card, can’t cancel the insurance bit. NTUC CS just ping pongs the customer back and forth. I’ll think twice abt getting their insurance products in the future.

Cancel it immediately if u can. M"
438,"Negative","User Experience","Identify and fix UI bugs","Issue","Pleasant experience and easy to navigate!"
439,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","I paid using E wallet fast transaction and secure."
440,"Negative","User Experience","Investigate and resolve UI bug","Issue","They charge you 100 bucks even if you have an outstanding of 5 bucks . Ever since that I’ve stopped using the card ."
441,"Negative","Technical Issues","Investigate technical issue urgently","Issue","I’m learning something new about singapore with their fun fact of the day. Cool touch! Can I add more fun facts?"
442,"Negative","User Experience","Gather detailed feedback improve UX design","Feedback","Applied 2 weeks ago and app is still at pending page. Yet to receive any email or call from either. 

Not sure if things are really that Trustable 🤨"
443,"Negative","Technical Issues","Investigate technical issue","Issue","By far simplest and best banking app I have ever used"
444,"Negative","User Experience","Investigate UI bug","Issue","Simple and convenient approval process. Love it! ❤️"
445,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","The whole process was done in a breeze. Loving the speed!"
446,"Negative","User Experience","Investigate UI glitches","Issue","Was trying to increase limit to consolidate local expenses, apparently it does not have increase limit feature but has DECREASE limit feature. Pffft. What a joke!"
447,"Negative","Technical Issues","Investigate technical issue improve app performance","Feedback","Hi my payment is due, and it seems I can’t login the app with my Singpass and since you have hide the credit card number(physically) I can’t pay if I don’t know the credit card number! Please help!"
448,"Negative","User Experience","Investigate UI bug","Issue","The app has seen so many updates in the last 2 weeks yet my application is still pending. Update: more than a month and still no response. Useless bank."
449,"Negative","Technical Issues","Investigate technical issue promptly","Issue","This is a Debit card not Credit Card.  So, need to put money in the account given by Trust then can use the card.

App can write review only after I uninstalled the app."
450,"Negative","User Experience","Investigate UI glitch issue","Issue","Been trying a few times but a msg always come in saying try again later i try installing and uninstalling but it’s the same"
451,"Negative","Technical Issues","Investigate technical issue gather logs","Feedback","I’m attempting to register using Singpass, but upon the page where I authorise the usage of my personal details to fill up some forms I got an error. How do I proceed ??"
452,"Negative","User Experience","Investigate UI bugs","Issue","As my friend is EP holder but unable to proceed to open a saving account. Kindly advise."
453,"Negative","Technical Issues","Investigate technical glitch prioritize fix","Feedback","App says unable to proceed with credit card application without specific reason. Tried to chat with online chat help but no response."
454,"Negative","User Experience","Investigate UI bug","Issue","Easy to use. Lots of discount and 
Great offers"
455,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Trust card is so good! So many surprises! I always look forward to such surprises."
456,"Negative","User Experience","Gather specific feedback improve UX","Feedback","Excellent by service provider staff"
457,"Negative","Technical Issues","Investigate app crashes prioritize fixes","Feedback","Convenience and key is no charge for withdrawal of cash"
458,"Negative","User Experience","Investigate user interface bug","Issue","How am I supposed to believe in a digital only bank when the money I transferred to another bNk account disappears into thin air? And, the best part of it all? Transaction wasnt captured and customer service is non-existent.

Let me warn you: do not TRUST and use this app — youve been warned!"
459,"Negative","Technical Issues","Investigate technical issue promptly","Issue","I have tried several times. But everytime after approving singpass login, it got stuck and tell me to on notifications which Was already on."
460,"Negative","User Experience","Investigate UI bug","Issue","Keep showing “enable notifications for better security” and stuck there after selecting my info"
461,"Negative","Technical Issues","Investigate and address technical issues (461)","Feedback","it’s a very useful app as i run a mini business!"
462,"Positive","Interest Rates & Savings","Thank user for positive feedback encourage more savings actions","Opinion","Trust is good, helping me interest earning, saving at fairprice and also not fees. I'm loving it!"
463,"Negative","Technical Issues","Investigate app crash issue","Issue","Trying to apply account by login my info but system goes freeze after login via SingPass and nothing can be done. Please check and troubleshoot ASAP"
464,"Neutral","User Experience","Investigate user interface improvements","Request","Please add a widget to show me offers near me"
465,"Positive","Rewards & Offers","Thank user for positive feedback ask for more ideas on improving rewards program.","Opinion","Reliable app, speed is good and I'm happy so far"
466,"Positive","Rewards & Offers","Thank user for feedback enhance rewards program","Feedback","Nice surprise gift for a little spent of less than $15! Thanks"
467,"Negative","Technical Issues","Investigate technical issue","Issue","After singpass identification, the whole application stage fails as there’s an error on Trust app coming back from Singpass app. Please fix asap"
468,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","As a person who apply over 70 credit card. This is the worst application and app. App still unable to open after 3/9/22 update. Ridiculous. Calling into support hanging there 10-20 mins no live agent."
469,"Negative","Technical Issues","Investigate technical issue gather user data","Feedback","Face Id is not working on iphone 15 pro max need to enter passcode every time."
470,"Positive","Technical Issues","Thank user for feedback ask for more details","Feedback","Honestly, once Trust enables international transfers with 0 fees, I’m cancelling my Wise account."
471,"Negative","Technical Issues","Investigate and resolve technical issue","Request","I love using trust card very simple n easy payment n fast !"
472,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","I am still waiting for my card approval. It’s been a week and you say you will get back to me in 3 business days! No sound at all."
473,"Negative","Technical Issues","Investigate Improve Report Back","Feedback","Why do we need to turn on mandatory notifications to log in, absolutely ridiculous"
474,"Neutral","Technical Issues","Investigate and resolve technical issue","Issue","It’s very clean but the UX can be improved. Offerings not bad… Redeemed my Gojek coupon! Thanks Trust!"
475,"Negative","Technical Issues","Investigate issue prioritize fix","Issue","Applied for credit card, waited 3 months, re-applied as office asked me. Status is always pending and no way to cancel the application as I don’t want it anymore."
476,"Negative","Technical Issues","Investigate technical issue prioritize fix","Feedback","The application took more than one week and still pending. Customer service hotline is unreachable. You even Cannot contact to cancel the application"
477,"Neutral","Technical Issues","Investigate issue promptly.","Issue","the voucher is issued upon my first Trust transaction! it was not even a big transaction!
Thanks FairPrice!"
478,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Don’t believe them if they say they’ll contact you. The agents also don’t seem to know how to help you, they can’t tell you what’s the issue."
479,"Negative","Technical Issues","Investigate technical issue reported","Issue","App can’t open couple weeks even updated"
480,"Negative","Technical Issues","Investigate and resolve technical glitches","Issue","Login by Singpass, but not show address and unavailable to open account. Q&A also cannot find"
481,"Negative","Technical Issues","Investigate reported issue prioritize fix.","Feedback","i try to apply for the trust bank sg saving card not it’s keep on pending on my application. WHAT THE HELL IS THIS??? Seriously wasting my time keep on starring on my phone for more den 10 min… Won’t recommend this trust bank to my friend,family n colleagues."
482,"Negative","Rewards & Offers","Investigate & Resolve Rewards Issue","Issue","It will fail to work if you change phone with the app installed then the new phone can’t transfer money for 12hrs I think. This is a super bad flaw"
483,"Negative","Technical Issues","Investigate technical issue promptly","Issue","Yes, agreed with earlier review. Support staff just hang up while u trying to response.

Also, when try to add reviews, k/b doesn’t pop up on this app only.

After so long in the market, there are still so many issue to fix. Terrible. 

Can even tap the start above to give one star👎"
484,"Negative","Technical Issues","Investigate and fix reported technical issue","Feedback","Easy and user friendly apps!"
485,"Negative","Technical Issues","Investigate technical glitches gather user feedback","Feedback","It’s such a regret already two weeks the link points earned from Trust does not sync nor credit with my link card!  Neither ppl from Trust or Link can solve the issue! Instability of the joint venture!"
486,"Negative","Technical Issues","Investigate technical issue","Issue","Love the perks that I receive while I am spending!!"
487,"Positive","Technical Issues","Investigate issue and provide solution","Issue","Why is the number of awarded coupons is being removed in the latest version?"
488,"Negative","Technical Issues","Investigate issue provide resolution","Issue","alot places have QR scan for paynow but sadly trust still doesnt have it yet"
489,"Negative","Technical Issues","Investigate technical glitch","Feedback","The helpline does not pick up your calls and the chat function consists of agents disconnecting immediately after ""It's sad that I didn't manage to complete the conversation with you""."
490,"Negative","Technical Issues","Investigate app crash issue","Issue","haven’t encountered a issue with this app, provides many rewards for usage aswell as allowing easy access to things w/ high security"
491,"Negative","Technical Issues","Investigate technical issue","Issue","Luckily i did not put large amount here as i wana test this acct. I did a count back from earlier and the amount not tally. Supposed to hv $30+ bt now left $1? Anybody gt d same problem?"
492,"Negative","Technical Issues","Investigate app crashes provide temporary solution","Issue","My savings account application got automatically declined and customer service is unable to help me. Completely stupid bank."
493,"Neutral","Technical Issues","Investigate issue prioritize fix","Issue","App is refusing to close the “allow push notifications” screen. Forcing users to enable this just to use the app is a bad UX decision. 👎"
494,"Negative","Technical Issues","Investigate app crashes improve stability","Feedback","Easy and fast"
495,"Negative","Technical Issues","Investigate technical issue urgently","Issue","Customer service officer has extremely poor comprehension and communication skills. No knowledge of bank plans. Zero assistance. I’m going close my account. The worst bank."
496,"Negative","Technical Issues","Investigate Report Fix Test Notify","Feedback","Phone number is not there yet cannot fill in or continue with application, you need to resolve this issue or nobody will use your app!"
497,"Negative","Technical Issues","Investigate app crashes gather user data","Feedback","Best card to use
Keep it up 👍👍"
498,"Neutral","Technical Issues","Request more detailed feedback","Feedback","Hi may I know why can’t register paynow account or phone how to top up acc or deposit"
499,"Positive","Technical Issues","Thank user for feedback request more details","Feedback","Very difficult to reach them via their line, put on hold for more than 20 minutes and kept waiting!!🤦‍♀️🤦‍♀️🤦‍♀️"
500,"Negative","Technical Issues","Investigate Resolve technical issue","Issue","No comment so far.😊 Thanks 🙏"
501,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","App not loading after upgrade to ios16"
502,"Neutral","Technical Issues","Investigate issue gather more info","Feedback","App unable to load. It was stuck in main page since forever."
503,"Negative","Technical Issues","Investigate address technical issue promptly","Feedback","Very easy to. Give and get"
504,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Not sure what is happening. I still get notifications but cannot launch the app at all!"
505,"Neutral","Technical Issues","Investigate and resolve technical issue","Issue","Easy to redeem voucher"
506,"Negative","Technical Issues","Investigate issue provide solution","Issue","Credit card holders beware .
Despite notification of e-statement being issued,
app still does not display credit card statement.

Hence, card holders might miss bill payment ."
507,"Neutral","Technical Issues","Investigate technical issue","Issue","How an app on earth failed to sign up a new account. That is a lousy start for a user. Do you still dare to use their service onward? I think twice. Good luck"
508,"Negative","Technical Issues","Investigate reported technical issue","Feedback","Very disappointed with Trust. Now I don’t even know the status of my application as the app doesn’t refer any assistance on this."
509,"Negative","Technical Issues","Investigate technical issue improve app stability","Feedback","Lousy app n customer service. They charge u so many hidden interest. Call customer service, different people tell different answer."
510,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Generally good & customer service staff are courteous & well equipped with the products knowledge"
511,"Neutral","Technical Issues","Investigate technical issue","Issue","Unable to apply for the card through myInfo as it is showing some sing pass error"
512,"Negative","Technical Issues","Investigate reported issue provide update","Feedback","It’s a scam as they will ask you to deposit a minimum amount and charge you a monthly fee for it! Customer Service doesn’t answer too!"
513,"Neutral","Technical Issues","Investigate reported technical issue","Feedback","When I registered keep showing me something went wrong , please try again later"
514,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","not sure if it’s interesting enough for Gen Z but defo works for me as an uncle."
515,"Negative","Technical Issues","Investigate app crashes prioritize fixes","Feedback","Only option is try again and it doesnt work"
516,"Negative","Technical Issues","Investigate technical issue improve app stability","Feedback","Sign up was unsuccessful even when I have met all requirements. Spoke to the CS and the live chat, all came with no solutions. Then how am I to apply for the card?"
517,"Negative","Technical Issues","Investigate technical problem","Issue","Hi,

I went overseas and upon return i try to open app and i got error message as ""Sorry Something went Wrong, we are working on getting this fixed.""  How can i resolve this issue

Regards
G Jayachandran"
518,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Thanks a lot."
519,"Negative","Technical Issues","Investigate and address reported technical issue","Feedback","Used their gojek stamp card and coupon. Super quick and efficient in awarding, but the redeeming process can be made more automatic."
520,"Negative","Technical Issues","Investigate technical glitch urgently","Issue","Well done n keep up the good work 🌈👍."
521,"Negative","Technical Issues","Investigate technical issue","Issue","It’s very convenient!"
522,"Negative","Technical Issues","Investigate technical issue reported","Issue","I went to NTUC to try out the trust ‘credit card’, I was told I could use it as there is no money inside ?! Is the card credit card or…….."
523,"Negative","Technical Issues","Investigate bug improve user interface","Feedback","Not sure why but after signing up all the app does is showing the pixelated T logo and not responsive."
524,"Neutral","Technical Issues","Investigate technical issue prioritize fix","Issue","Where is the instant approval? oMG
Unlike other bank like HSBC, OCBC and SCB,
Instant approval only take about 3 minutes, but this APP …. I also dun know how to say la"
525,"Negative","Technical Issues","Investigate and resolve technical issues promptly","Feedback","App prompted “Something went wrong” we are working on it. It has been 2 days, and I wonder how efficient is Trust Bank?"
526,"Negative","Technical Issues","Investigate and resolve issue promptly","Issue","Fast n easy"
527,"Negative","Technical Issues","Investigate issue prioritize fix","Issue","I have previously apply the cc card like 1 year ago and have it cancelled.
Wanted to reapply and it will never get thru.
No one is there to assist.. 🤦🏻‍♂️"
528,"Neutral","Technical Issues","Investigate app crash issue","Issue","When click on the Face ID icon, not able to start the Face ID"
529,"Negative","Technical Issues","Investigate technical issue promptly","Issue","Application in pending status took forever , 3 weeks still the same"
530,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","There’s no link or option to apply for Ntuc visa credit card"
531,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Already 2 weeks cant load in the apps, what is going on? Can pls fix the problem! Tks!"
532,"Neutral","User Experience","Investigate UI bug","Issue","Why are all the deals dumped in a single page?  What about categories or filters?"
533,"Negative","Technical Issues","Investigate issue prioritize fix","Issue","Always have error when applying saving account and credit card. Give up"
534,"Positive","User Experience","Thank you for your valuable feedback. Share design ideas.","Feedback","Application & reception of this Credit card is seamless & efficacious.

This app is easy to use!

The benefits from this Credit Card is useful and practical.

😃"
535,"Negative","Technical Issues","Investigate technical issue","Issue","The app has issue for new sign up. It just always stop at the Name On Card page. Just unable go thru that step. Pls enhance the necessary for the app."
536,"Positive","Rewards & Offers","Thank user for feedback enhance rewards program","Feedback","because its good"
537,"Negative","Technical Issues","Investigate technical issue reported","Issue","Not working after software update"
538,"Negative","Technical Issues","Investigate technical issue promptly","Issue","Thanks for the free drink! Every bit of help to fight inflation is much appreciated!!!"
539,"Positive","Technical Issues","Thank you for the valuable feedback. Share with development team.","Feedback","Credit card application submitted for more than 40 days without any notice or processing. No one answered phone calls."
540,"Negative","Technical Issues","Investigate and resolve technical issues","Feedback","very convenient and accesible"
541,"Negative","Technical Issues","Identify issue prioritize fix","Issue","Perfect banking experience"
542,"Negative","Technical Issues","Investigate tech issue prioritize fix","Issue","Waiting near 1 month still processing … very slow.."
543,"Negative","Technical Issues","Investigate issue improve app stability","Feedback","Takes ages to approve App bot does not work Call centre — on hold for > 30 mins until phone goes dead Bad & frustrating start . Deleted app ."
544,"Positive","Technical Issues","Thank user for feedback improve app stability","Feedback","It’s a very reliable app"
545,"Positive","Technical Issues","Thank you for your feedback. Share your experience with our dev team.","Feedback","24/7 support is fake. App is unable to support this and 8 hours later, still no response"
546,"Negative","Technical Issues","Investigate technical glitch","Issue","Hi i received an invitation email from Singtel regarding this app. I already log in to my Singpass and what i get back answer is my application cannot be approved. What is this GSX doing???! Then why send me invitation."
547,"Positive","Technical Issues","Investigate and resolve technical issue","Issue","It’s a spectacular banking app. Love the onboarding experience!!"
548,"Negative","Technical Issues","Investigate Improve App Stability","Feedback","Super card and helpful to NTUC members like me.A big thanks 😊"
549,"Negative","Technical Issues","Investigate app crashes improve stability","Feedback","I did not understand why I register my card to the EZ link portal trust bank will charge 0.10 cent for each transaction"
550,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","I am now unable to login to my account. I was told I did not have one when I contacted CS. How can you have lost my account and money?"
551,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","I cannot get the app to work even after reinstalling umpteen times. It get stuck on after password entry with the blue T animating. 
Mine is a Ip8"
552,"Positive","Technical Issues","Thank user for feedback investigate issue","Feedback","Sign up first day, second day coupon goes missing? What sort of “trust” is that?"
553,"Negative","Technical Issues","Investigate technical issue improve app performance","Feedback","This app did not follow paynow specifications for merchant reference to support alphanumeric AND special characters. We can’t pay at all !!!"
554,"Negative","Technical Issues","Investigate technical issue reported","Issue","Very useful and easy"
555,"Negative","Technical Issues","Investigate technical issue improve app stability","Feedback","Love the interest rates and good offers"
556,"Positive","Technical Issues","Acknowledge feedback thank user","Feedback","Trying to login for the first time after joining and registering. But the app is stuck at loading."
557,"Negative","Technical Issues","Investigate technical issue urgently","Issue","Cannot open the Apps after down loading."
558,"Negative","Technical Issues","Investigate reported issue provide resolution","Feedback","this app is the best"
559,"Negative","Technical Issues","Investigate and fix app crashes","Feedback","The app does not load on my iPhone XS after updating the app. Please fix this asap as this affects my banking transactions. thanks"
560,"Negative","Technical Issues","Investigate Report bug Improve performance","Feedback","I App only got rich people use only. I was rejected without any reason and I only apply Saving account. This is the worst App I ever encountered."
561,"Negative","Technical Issues","Investigate and resolve tech issue","Issue","Then after signing up.  I can’t even login to the app.  Very slow login and reply.  IT needed upgrading"
562,"Negative","Technical Issues","Investigate technical issue improve app stability","Feedback","Was so excited to open my first digital bank but it’s was declined unsuccessful application.

Tried to reach out via live chat, waited 5 mins no response.

Then turned to hotline, waited 8 mins no response.

I give up."
563,"Positive","Technical Issues","Thank user for feedback ask for more details","Feedback","I am
Loving it"
564,"Negative","Technical Issues","Investigate issue and provide resolution","Issue","it’s easy to use"
565,"Negative","Technical Issues","Investigate technical issue reported","Issue","How about downloading a monthly statement?"
566,"Neutral","Technical Issues","Investigate issue ensure quick resolution","Issue","Fast, easy and trust company."
